# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_LR_SAM
#Generated on Mon Apr 19 14:34:08 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 15693.49 17197.74 20.0000 2708.73 41.6870
 16729.36 18118.35 20.5000 2844.39 41.4183
 17822.08 19080.73 21.0000 2990.92 41.1633
 18976.13 20088.43 21.5000 3149.69 40.9218
 20155.04 21109.52 22.0000 3023.50 40.6847
 21262.51 22060.59 22.5000 2836.50 40.4299
 22311.77 22953.45 23.0000 2692.17 40.1586
 23316.14 23799.83 23.5000 2577.43 39.8728
 24285.04 24608.00 24.0000 2484.07 39.5743
 25225.38 25383.99 24.5000 2406.67 39.2645
 26142.38 26132.39 25.0000 2341.48 38.9446
 27040.13 26856.70 25.5000 2285.84 38.6156
 27921.83 27559.71 26.0000 2237.89 38.2783
 28790.05 28243.62 26.5000 2196.14 37.9334
 29646.91 28910.24 27.0000 2159.45 37.5817
 30494.14 29561.04 27.5000 2127.01 37.2237
 31333.19 30197.24 28.0000 2098.11 36.8597
 32165.27 30819.86 28.5000 2072.18 36.4904
 32991.41 31429.76 29.0000 2048.83 36.1160
 33812.48 32027.66 29.5000 2027.65 35.7369
 34629.24 32614.18 30.0000 2008.38 35.3533
 35442.36 33189.86 30.5000 1990.81 34.9656
 36252.40 33755.18 31.0000 1974.67 34.5740
 37059.86 34310.51 31.5000 1959.82 34.1787
 37865.17 34856.22 32.0000 1946.04 33.7799
 38668.67 35392.57 32.5000 1933.23 33.3777
 39470.70 35919.84 33.0000 1921.25 32.9724
 40271.52 36438.22 33.5000 1910.02 32.5640
 41071.35 36947.91 34.0000 1899.42 32.1527
 41870.41 37449.06 34.5000 1889.39 31.7385
 42668.85 37941.81 35.0000 1879.85 31.3217
 43466.82 38426.29 35.5000 1870.75 30.9021
 44264.44 38902.58 36.0000 1862.03 30.4800
 45061.81 39370.77 36.5000 1853.65 30.0554
 45859.02 39830.94 37.0000 1845.55 29.6283
 46656.11 40283.15 37.5000 1837.72 29.1988
 47453.14 40727.44 38.0000 1830.09 28.7669
 48250.15 41163.86 38.5000 1822.65 28.3330
 49047.13 41592.52 39.0000 1815.51 27.9097
 49844.06 42013.78 39.5000 1808.74 27.5050
 50640.90 42427.95 40.0000 1802.29 27.1165
 51437.61 42835.36 40.5000 1796.13 26.7425
 52234.18 43236.27 41.0000 1790.26 26.3823
 53030.59 43630.95 41.5000 1784.64 26.0343
 53826.82 44019.64 42.0000 1779.25 25.6979
 54622.85 44402.55 42.5000 1774.08 25.3720
 55418.67 44779.88 43.0000 1769.11 25.0556
 56214.28 45151.83 43.5000 1764.33 24.7486
 57009.66 45518.55 44.0000 1759.72 24.4496
 57804.82 45880.21 44.5000 1755.27 24.1584
 58599.74 46236.96 45.0000 1750.98 23.8745
 59394.43 46588.94 45.5000 1746.83 23.5971
 60188.88 46936.26 46.0000 1742.82 23.3260
 60983.09 47279.06 46.5000 1738.93 23.0606
 61777.06 47617.44 47.0000 1735.15 22.8000
