# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_SR_SAM
#Generated on Wed Feb 03 16:41:21 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 6143.90 1142.86 10.0000 1273.80 8.3708
 6789.12 1236.60 10.5000 1334.41 8.1629
 7464.29 1332.26 11.0000 1393.49 7.9646
 8168.61 1429.62 11.5000 1450.91 7.7748
 8901.24 1528.47 12.0000 1506.55 7.5927
 9661.28 1628.61 12.5000 1560.29 7.4175
 10447.76 1729.83 13.0000 1612.06 7.2485
 11223.61 1827.38 13.5000 1518.65 7.0768
 11956.20 1917.19 14.0000 1436.16 6.8941
 12650.45 1999.99 14.5000 1362.75 6.7005
 13310.47 2076.38 15.0000 1296.95 6.4960
 13939.71 2146.88 15.5000 1237.57 6.2807
 14541.11 2211.91 16.0000 1183.71 6.0548
 15117.19 2271.85 16.5000 1134.61 5.8184
 15670.15 2327.03 17.0000 1089.64 5.5713
 16201.88 2377.73 17.5000 1048.30 5.3139
 16714.07 2424.19 18.0000 1010.14 5.0460
 17208.19 2466.64 18.5000 974.81 4.7678
 17685.55 2505.27 19.0000 942.05 4.4798
 18147.30 2540.26 19.5000 911.48 4.1810
 18594.51 2571.76 20.0000 882.92 3.8720
 19028.10 2599.92 20.5000 856.18 3.5528
 19448.91 2624.85 21.0000 831.09 3.2235
 19857.73 2646.67 21.5000 807.49 2.8840
 20255.23 2665.50 22.0000 785.26 2.5344
 20642.05 2681.42 22.5000 764.27 2.1749
 21018.77 2694.52 23.0000 744.42 1.8053
 21385.92 2704.88 23.5000 725.63 1.4257
 21743.98 2712.59 24.0000 707.80 1.0363
 22093.41 2717.69 24.5000 690.86 0.6369
 22434.61 2720.28 25.0000 674.76 0.2277
-1.00 -1.00 -1.0000 -1.00 -1.0000
20.2000
 6144.87 1160.58 10.0000 1274.21 8.5309
 6790.04 1256.16 10.5000 1334.87 8.3232
 7465.18 1353.74 11.0000 1394.01 8.1250
 8169.50 1453.11 11.5000 1451.51 7.9353
 8902.17 1554.06 12.0000 1507.25 7.7534
 9662.30 1656.38 12.5000 1561.12 7.5783
 10448.93 1759.87 13.0000 1613.05 7.4095
 11225.03 1859.67 13.5000 1519.79 7.2381
 11957.96 1951.62 14.0000 1437.44 7.0556
 12652.64 2036.46 14.5000 1364.14 6.8622
 13313.14 2114.80 15.0000 1298.42 6.6580
 13942.92 2187.16 15.5000 1239.12 6.4431
 14544.91 2253.99 16.0000 1185.32 6.2176
 15121.63 2315.65 16.5000 1136.27 5.9815
 15675.26 2372.50 17.0000 1091.35 5.7350
 16207.71 2424.80 17.5000 1050.13 5.4786
 16720.64 2472.82 18.0000 1012.01 5.2113
 17215.53 2516.77 18.5000 976.70 4.9336
 17693.69 2556.86 19.0000 943.91 4.6458
 18156.27 2593.27 19.5000 913.36 4.3477
 18604.32 2626.14 20.0000 884.82 4.0394
 19038.77 2655.63 20.5000 858.11 3.7210
 19460.47 2681.86 21.0000 833.03 3.3924
 19870.19 2704.94 21.5000 809.45 3.0539
 20268.60 2725.00 22.0000 787.22 2.7052
 20656.36 2742.12 22.5000 766.25 2.3466
 21034.02 2756.39 23.0000 746.41 1.9781
 21402.12 2767.90 23.5000 727.61 1.5996
 21761.15 2776.72 24.0000 709.79 1.2113
 22111.55 2782.91 24.5000 692.86 0.8131
 22453.74 2786.56 25.0000 676.75 0.4052
-1.00 -1.00 -1.0000 -1.00 -1.0000
20.4000
 6145.65 1178.13 10.0000 1274.49 8.6901
 6790.76 1275.53 10.5000 1335.20 8.4825
 7465.86 1375.02 11.0000 1394.41 8.2844
 8170.17 1476.38 11.5000 1451.99 8.0949
 8902.87 1579.41 12.0000 1507.83 7.9131
 9663.08 1683.90 12.5000 1561.83 7.7382
 10449.86 1789.64 13.0000 1613.91 7.5695
 11226.20 1891.68 13.5000 1521.08 7.3983
 11959.46 1985.75 14.0000 1438.85 7.2160
 12654.54 2072.61 14.5000 1365.64 7.0229
 13315.51 2152.89 15.0000 1299.99 6.8191
 13945.82 2227.10 15.5000 1240.75 6.6045
 14548.39 2295.71 16.0000 1187.01 6.3794
 15125.73 2359.09 16.5000 1138.01 6.1438
 15680.03 2417.59 17.0000 1093.13 5.8977
 16213.17 2471.49 17.5000 1051.87 5.6413
 16726.84 2521.05 18.0000 1013.78 5.3745
 17222.49 2566.50 18.5000 978.52 5.0975
 17701.43 2608.04 19.0000 945.75 4.8103
 18164.83 2645.85 19.5000 915.23 4.5129
 18613.71 2680.09 20.0000 886.72 4.2053
 19049.02 2710.90 20.5000 860.02 3.8877
 19471.60 2738.42 21.0000 834.96 3.5600
 19882.20 2762.77 21.5000 811.39 3.2223
 20281.53 2784.05 22.0000 789.18 2.8746
 20670.20 2802.37 22.5000 768.21 2.5170
 21048.80 2817.81 23.0000 748.38 2.1494
 21417.85 2830.45 23.5000 729.59 1.7720
 21777.84 2840.38 24.0000 711.77 1.3848
 22129.21 2847.67 24.5000 694.84 0.9878
 22472.37 2852.37 25.0000 678.74 0.5811
-1.00 -1.00 -1.0000 -1.00 -1.0000
20.6000
 6146.65 1195.07 10.0000 1274.90 8.8426
 6791.71 1294.22 10.5000 1335.65 8.6352
 7466.77 1395.54 11.0000 1394.91 8.4372
 8171.08 1498.83 11.5000 1452.57 8.2479
 8903.81 1603.86 12.0000 1508.51 8.0662
 9664.10 1710.43 12.5000 1562.63 7.8915
 10451.02 1818.34 13.0000 1614.86 7.7230
 11227.58 1922.52 13.5000 1522.18 7.5519
 11961.16 2018.64 14.0000 1440.07 7.3699
 12656.63 2107.45 14.5000 1366.96 7.1771
 13318.06 2189.59 15.0000 1301.39 6.9735
 13948.88 2265.59 15.5000 1242.22 6.7593
 14552.00 2335.91 16.0000 1188.54 6.5345
 15129.94 2400.95 16.5000 1139.60 6.2993
 15684.87 2461.04 17.0000 1094.77 6.0537
 16218.69 2516.48 17.5000 1053.55 5.7977
 16733.06 2567.53 18.0000 1015.51 5.5315
 17229.45 2614.42 18.5000 980.27 5.2551
 17709.15 2657.36 19.0000 947.54 4.9684
