# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_ICBM_2
#Generated on Thu Jan 14 13:16:17 2010
#loft_angle burn_time ground_range time_of_flight
89.5900 293.0000 3263717.40 996.3734
89.5900 293.0200 3265288.61 996.6136
89.5900 293.0400 3266861.39 996.8540
89.5900 293.0600 3268433.44 997.0946
89.5900 293.0800 3257940.26 991.3979
89.5900 293.1000 3259510.13 991.6366
89.5900 293.1200 3261081.57 991.8756
89.5900 293.1400 3262654.60 992.1149
89.5900 293.1600 3264229.21 992.3543
89.5900 293.1800 3265803.11 992.5940
89.5900 293.2000 3267380.89 992.8340
89.5900 293.2200 3268960.27 993.0742
89.5900 293.2400 3270541.23 993.3146
89.5900 293.2600 3272123.79 993.5553
89.5900 293.2800 3273705.66 993.7962
89.5900 293.3000 3275291.42 994.0373
89.5900 293.3200 3276878.79 994.2787
89.5900 293.3400 3278467.76 994.5204
89.5900 293.3600 3280058.34 994.7623
89.5900 293.3800 3281650.53 995.0044
89.5900 293.4000 3283242.05 995.2468
89.5900 293.4200 3297039.18 1001.4677
89.5900 293.4400 3298643.92 1001.7130
89.5900 293.4600 3300250.28 1001.9585
89.5900 293.4800 3301858.28 1002.2043
89.5900 293.5000 3303467.90 1002.4503
89.5900 293.5200 3305076.84 1002.6966
89.5900 293.5400 3306689.74 1002.9431
89.5900 293.5600 3308304.27 1003.1899
89.5900 293.5800 3309920.44 1003.4369
89.5900 293.6000 3311538.26 1003.6842
89.5900 293.6200 3313157.72 1003.9317
89.5900 293.6400 3314778.83 1004.1795
89.5900 293.6600 3316401.60 1004.4275
89.5900 293.6800 3318026.02 1004.6758
89.5900 293.7000 3319652.10 1004.9243
89.5900 293.7200 3321279.84 1005.1731
89.5900 293.7400 3322909.24 1005.4222
89.5900 293.7600 3324540.31 1005.6715
89.5900 293.7800 3326173.05 1005.9211
89.5900 293.8000 3327807.45 1006.1709
89.5900 293.8200 3329443.54 1006.4209
89.5900 293.8400 3331081.30 1006.6713
89.5900 293.8600 3332720.74 1006.9218
89.5900 293.8800 3334361.86 1007.1727
89.5900 293.9000 3336004.67 1007.4238
89.5900 293.9200 3337649.17 1007.6751
89.5900 293.9400 3339295.36 1007.9268
89.5900 293.9600 3340943.24 1008.1786
89.5900 293.9800 3342592.82 1008.4308
