# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_MRBM_2
#Generated on Thu Jan 14 13:35:14 2010
#loft_angle burn_time ground_range time_of_flight
88.5000 89.0000 278290.47 330.0936
88.5000 89.0200 278570.29 330.2022
88.5000 89.0400 278821.48 330.3108
88.5000 89.0600 279072.85 330.4194
88.5000 89.0800 279324.40 330.5281
88.5000 89.1000 279576.13 330.6368
88.5000 89.1200 279828.04 330.7455
88.5000 89.1400 280109.07 330.8543
88.5000 89.1600 280361.37 330.9631
88.5000 89.1800 280613.85 331.0720
88.5000 89.2000 280866.51 331.1809
88.5000 89.2200 281119.35 331.2898
88.5000 89.2400 281372.38 331.3988
88.5000 89.2600 281654.62 331.5078
88.5000 89.2800 281908.03 331.6168
88.5000 89.3000 282161.63 331.7259
88.5000 89.3200 282415.41 331.8350
88.5000 89.3400 282669.38 331.9441
88.5000 89.3600 282952.62 332.0533
88.5000 89.3800 283206.97 332.1626
88.5000 89.4000 283461.51 332.2718
88.5000 89.4200 283716.23 332.3811
88.5000 89.4400 283971.14 332.4905
88.5000 89.4600 284226.22 332.5998
88.5000 89.4800 284510.69 332.7093
88.5000 89.5000 284766.17 332.8187
88.5000 89.5200 285021.82 332.9282
88.5000 89.5400 285170.51 333.2261
88.5000 89.5600 285426.45 333.3358
88.5000 89.5800 285682.58 333.4455
88.5000 89.6000 285968.15 333.5553
88.5000 89.6200 286224.67 333.6651
88.5000 89.6400 286481.38 333.7750
88.5000 89.6600 286738.27 333.8848
88.5000 89.6800 286995.35 333.9948
88.5000 89.7000 287281.95 334.1047
88.5000 89.7200 287539.43 334.2147
88.5000 89.7400 287797.09 334.3248
88.5000 89.7600 288054.94 334.4348
88.5000 89.7800 288312.97 334.5449
88.5000 89.8000 288600.59 334.6551
88.5000 89.8200 288859.03 334.7653
88.5000 89.8400 289117.65 334.8755
88.5000 89.8600 289376.45 334.9858
88.5000 89.8800 289635.44 335.0961
88.5000 89.9000 289924.10 335.2064
88.5000 89.9200 290183.49 335.3168
88.5000 89.9400 290443.07 335.4272
88.5000 89.9600 290702.84 335.5377
88.5000 89.9800 290962.79 335.6482
88.5000 90.0000 291252.49 335.7587
88.5000 90.0200 291512.84 335.8693
88.5000 90.0400 291773.39 335.9799
88.5000 90.0600 292034.11 336.0906
88.5000 90.0800 292324.64 336.2012
88.5000 90.1000 292585.78 336.3120
88.5000 90.1200 292847.10 336.4228
88.5000 90.1400 293108.60 336.5336
88.5000 90.1600 293370.30 336.6444
88.5000 90.1800 293661.87 336.7553
88.5000 90.2000 293923.98 336.8662
88.5000 90.2200 294186.27 336.9772
