# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_1
#Generated on Thu Jan 14 13:00:44 2010
#loft_angle burn_time ground_range time_of_flight
84.6500 40.0000 27843.28 138.4298
84.6500 40.0200 27891.82 138.5025
84.6500 40.0400 27930.51 138.5753
84.6500 40.0600 27969.25 138.6480
84.6500 40.0800 28017.96 138.7208
84.6500 40.1000 28056.79 138.7936
84.6500 40.1200 28105.61 138.8664
84.6500 40.1400 28144.54 138.9392
84.6500 40.1600 28193.47 139.0120
84.6500 40.1800 28232.47 139.0848
84.6500 40.2000 28281.50 139.1577
84.6500 40.2200 28320.59 139.2305
84.6500 40.2400 28369.72 139.3034
84.6500 40.2600 28408.90 139.3762
84.6500 40.2800 28448.12 139.4491
84.6500 40.3000 28497.40 139.5220
84.6500 40.3200 28536.71 139.5949
84.6500 40.3400 28586.11 139.6678
84.6500 40.3600 28625.51 139.7407
84.6500 40.3800 28675.02 139.8137
84.6500 40.4000 28714.52 139.8866
84.6500 40.4200 28764.14 139.9596
84.6500 40.4400 28803.73 140.0326
84.6500 40.4600 28853.46 140.1055
84.6500 40.4800 28893.14 140.1785
84.6500 40.5000 28942.98 140.2515
84.6500 40.5200 28982.76 140.3246
84.6500 40.5400 29022.58 140.3976
84.6500 40.5600 29072.59 140.4706
84.6500 40.5800 29112.51 140.5437
84.6500 40.6000 29162.63 140.6167
84.6500 40.6200 29202.65 140.6898
84.6500 40.6400 29252.26 140.7642
84.6500 40.6600 29292.37 140.8373
84.6500 40.6800 29342.72 140.9104
84.6500 40.7000 29382.93 140.9835
84.6500 40.7200 29433.40 141.0566
84.6500 40.7400 29473.70 141.1298
84.6500 40.7600 29524.28 141.2029
84.6500 40.7800 29564.69 141.2761
84.6500 40.8000 29605.13 141.3493
84.6500 40.8200 29655.89 141.4225
84.6500 40.8400 29696.43 141.4957
84.6500 40.8600 29747.30 141.5689
84.6500 40.8800 29787.95 141.6421
84.6500 40.9000 29838.93 141.7153
84.6500 40.9200 29879.68 141.7886
84.6500 40.9400 29930.78 141.8618
84.6500 40.9600 29971.63 141.9351
84.6500 40.9800 30022.85 142.0084
84.6500 41.0000 30063.80 142.0817
84.6500 41.0200 30115.14 142.1550
84.6500 41.0400 30156.18 142.2283
84.6500 41.0600 30207.64 142.3017
84.6500 41.0800 30248.79 142.3750
84.6500 41.1000 30289.99 142.4484
84.6500 41.1200 30341.62 142.5217
84.6500 41.1400 30382.92 142.5951
84.6500 41.1600 30434.67 142.6685
84.6500 41.1800 30476.07 142.7419
84.6500 41.2000 30527.94 142.8153
84.6500 41.2200 30569.45 142.8888
84.6500 41.2400 30621.44 142.9622
