# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_3
#Generated on Wed Feb 17 08:03:03 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.4600 70.0000 455289.84 379.6084 1083.31 -49.4923
57.4600 70.0200 455614.18 379.7274 1085.16 -49.4809
57.4600 70.0400 455938.70 379.8464 1087.02 -49.4696
57.4600 70.0600 456298.71 379.9656 1085.03 -49.4747
57.4600 70.0800 456623.66 380.0847 1086.90 -49.4633
57.4600 70.1000 456984.10 380.2039 1084.92 -49.4684
57.4600 70.1200 457309.48 380.3231 1086.79 -49.4570
57.4600 70.1400 457635.03 380.4424 1088.67 -49.4455
57.4600 70.1600 457996.15 380.5617 1086.69 -49.4506
57.4600 70.1800 458322.13 380.6810 1088.58 -49.4391
57.4600 70.2000 458683.68 380.8004 1086.61 -49.4442
57.4600 70.2200 459010.09 380.9199 1088.50 -49.4326
57.4600 70.2400 459336.68 381.0394 1090.41 -49.4211
57.4600 70.2600 459698.91 381.1589 1088.44 -49.4261
57.4600 70.2800 460025.93 381.2785 1090.35 -49.4146
57.4600 70.3000 460353.13 381.3981 1092.27 -49.4031
57.4600 70.3200 460716.04 381.5178 1090.30 -49.4080
57.4600 70.3400 461043.67 381.6375 1092.23 -49.3964
57.4600 70.3600 461407.01 381.7572 1090.27 -49.4013
57.4600 70.3800 461735.07 381.8770 1092.20 -49.3897
57.4600 70.4000 462063.31 381.9969 1094.14 -49.3781
57.4600 70.4200 462427.34 382.1168 1092.19 -49.3830
57.4600 70.4400 462756.02 382.2367 1094.14 -49.3713
57.4600 70.4600 463120.48 382.3567 1092.19 -49.3761
57.4600 70.4800 463449.58 382.4767 1094.15 -49.3645
57.4600 70.5000 463778.87 382.5968 1096.11 -49.3528
57.4600 70.5200 464144.02 382.7169 1094.17 -49.3576
57.4600 70.5400 464473.73 382.8371 1096.14 -49.3459
57.4600 70.5600 464839.33 382.9573 1094.20 -49.3506
57.4600 70.5800 465169.48 383.0775 1096.18 -49.3389
