# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_4
#Generated on Wed Apr 14 12:05:27 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.0700 126.0000 1340698.23 611.0809 686.35 -42.6233
57.0700 126.0200 1341325.03 611.2121 684.90 -42.6308
57.0700 126.0400 1341926.97 611.3432 687.61 -42.6082
57.0700 126.0600 1342554.51 611.4745 686.16 -42.6156
57.0700 126.0800 1343182.40 611.6058 684.71 -42.6229
57.0700 126.1000 1343785.42 611.7372 687.44 -42.6002
57.0700 126.1200 1344414.05 611.8687 686.01 -42.6074
57.0700 126.1400 1345043.03 612.0002 684.58 -42.6146
57.0700 126.1600 1345647.14 612.1318 687.33 -42.5918
57.0700 126.1800 1346276.86 612.2635 685.91 -42.5989
57.0700 126.2000 1346881.68 612.3952 688.67 -42.5760
57.0700 126.2200 1347512.14 612.5270 687.26 -42.5831
57.0700 126.2400 1348142.96 612.6589 685.86 -42.5901
57.0700 126.2600 1348748.86 612.7908 688.64 -42.5671
57.0700 126.2800 1349380.43 612.9228 687.24 -42.5740
57.0700 126.3000 1350012.35 613.0549 685.86 -42.5808
57.0700 126.3200 1350619.35 613.1870 688.66 -42.5577
57.0700 126.3400 1351252.01 613.3192 687.28 -42.5645
57.0700 126.3600 1351885.03 613.4515 685.91 -42.5713
57.0700 126.3800 1352493.13 613.5838 688.72 -42.5480
57.0700 126.4000 1353126.90 613.7162 687.36 -42.5547
57.0700 126.4200 1353735.70 613.8486 690.20 -42.5314
57.0700 126.4400 1354370.23 613.9812 688.84 -42.5379
57.0700 126.4600 1355005.11 614.1138 687.50 -42.5445
57.0700 126.4800 1355615.01 614.2465 690.35 -42.5211
57.0700 126.5000 1356250.65 614.3792 689.01 -42.5275
57.0700 126.5200 1356886.64 614.5120 687.68 -42.5339
57.0700 126.5400 1357497.64 614.6449 690.55 -42.5104
