# ****************************************************************************
# CUI//REL TO USA ONLY
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************

#Ground target launch data for BLUE_SLBM
#Generated on Mon Nov  1 10:08:13 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
69.0000 140.0000 3383046.28 773.3108 791.93 -24.3112
69.0000 140.5000 3423266.96 779.1437 793.20 -24.2566
69.0000 141.0000 3464974.40 785.2285 792.90 -24.2261
69.0000 141.5000 3508179.34 791.5738 792.80 -24.1949
69.0000 142.0000 3551900.68 797.9507 791.67 -24.1758
69.0000 142.5000 3596641.90 804.4820 792.98 -24.1219
69.0000 143.0000 3642511.96 811.1737 792.49 -24.0934
69.0000 143.5000 3689513.37 818.0325 792.76 -24.0538
69.0000 144.0000 3737722.96 825.0653 791.84 -24.0310
69.0000 144.5000 3787147.37 832.2794 792.32 -23.9880
69.0000 145.0000 3837867.90 839.6826 792.28 -23.9521
69.0000 145.5000 3889932.13 847.2830 792.11 -23.9179
69.0000 146.0000 3943390.26 855.0893 792.19 -23.8800
69.0000 146.5000 3998331.46 863.1107 790.67 -23.8646
69.0000 147.0000 4054775.57 871.3567 790.25 -23.8333
69.0000 147.5000 4112781.78 879.8377 791.39 -23.7794
69.0000 148.0000 4172485.04 888.5646 790.07 -23.7605
69.0000 148.5000 4233879.33 897.5489 791.32 -23.7045
69.0000 149.0000 4297143.36 906.8030 788.95 -23.7004
69.0000 149.5000 4362243.15 916.3399 789.83 -23.6492
69.0000 150.0000 4428718.33 926.0311 788.90 -23.6217
69.0000 150.5000 4497905.35 936.1745 788.24 -23.5922
69.0000 151.0000 4569252.31 946.6451 788.78 -23.5451
69.0000 151.5000 4642926.22 957.4598 786.81 -23.5343
69.0000 152.0000 4718955.69 968.6367 787.59 -23.4832
69.0000 152.5000 4797520.32 980.1950 787.52 -23.4441
69.0000 153.0000 4878770.64 992.1553 785.29 -23.4364
69.0000 153.5000 4962756.59 1004.5396 786.34 -23.3804
69.0000 154.0000 5049716.70 1017.3716 785.05 -23.3586
69.0000 154.5000 5139754.15 1030.6768 784.76 -23.3218
69.0000 155.0000 5233053.86 1044.4823 784.47 -23.2847
69.0000 155.5000 5329811.15 1058.8176 783.27 -23.2609
69.0000 156.0000 5430196.65 1073.7142 782.54 -23.2298
69.0000 156.5000 5534429.21 1089.2063 781.59 -23.2017
69.0000 157.0000 5642705.03 1105.3305 782.04 -23.1525
69.0000 157.5000 5755306.58 1122.1266 781.23 -23.1219
69.0000 158.0000 5873258.75 1139.8133 780.62 -23.0900
69.0000 158.5000 5995250.19 1158.0881 781.02 -23.0407
69.0000 159.0000 6122405.97 1177.1746 779.73 -23.0165
69.0000 159.5000 6255007.76 1197.1277 779.13 -22.9816
69.0000 160.0000 6393430.66 1218.0067 777.46 -22.9626
69.0000 160.5000 6538001.77 1239.8763 777.54 -22.9169
69.0000 161.0000 6689181.15 1262.8067 775.89 -22.8972
69.0000 161.5000 6847349.32 1286.8749 775.85 -22.8527
69.0000 162.0000 7013024.09 1312.1644 774.54 -22.8272
69.0000 162.5000 7186684.32 1338.7667 773.77 -22.7933
69.0000 163.0000 7368879.72 1366.7818 773.52 -22.7510
69.0000 163.5000 7560233.31 1396.3192 772.05 -22.7273
69.0000 164.0000 7761337.44 1427.4987 772.36 -22.6757
69.0000 164.5000 7972970.00 1460.4518 769.38 -22.6752
69.0000 165.0000 8195777.07 1495.3224 769.25 -22.6297
69.0000 165.5000 8430630.77 1532.2689 768.06 -22.6006
69.0000 166.0000 8678382.78 1571.4647 766.82 -22.5721
69.0000 166.5000 8939972.37 1613.1002 765.12 -22.5506
69.0000 167.0000 9216356.47 1657.3847 765.45 -22.4964
69.0000 167.5000 9508650.50 1704.5473 764.83 -22.4571
69.0000 168.0000 9817984.93 1754.8392 763.30 -22.4319
69.0000 168.5000 10145536.34 1808.5352 761.91 -22.4042
69.0000 169.0000 10492555.37 1865.9354 760.26 -22.3807
69.0000 169.5000 10859656.01 1927.1407 758.99 -22.3487
69.0000 170.0000 11249607.93 1992.9587 756.36 -22.3409
69.0000 170.5000 11662952.96 2063.5466 756.57 -22.2856
69.0000 171.0000 12101106.03 2139.3168 753.97 -22.2769
69.0000 171.5000 12565263.47 2220.7095 752.26 -22.2531
69.0000 172.0000 13056564.85 2308.1915 752.11 -22.2026
