# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************

#Launch data for DELTA_IV_M Launched from Latitude: 28.531986 Longitude: -80.566821 Altitude: 1.0
#Generated on Mon Dec  3 13:48:44 2018
#Lau-Hdg -Loft- -Incl.- -Time-- ---Lat---- ----Lon---- --Alt-- -Speed-- -FSpeed- --Hdg-- -Angle- -DeltaV- -Fleft- -Tleft-
  40.000 81.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 81.200    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 81.400    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 81.600    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 81.800    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 82.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 82.200    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 82.400    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 82.600    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 82.800    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 83.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 83.200    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 83.400    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 83.600    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  40.000 83.800    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
