# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
# Reference Atmosphere, 30 deg North, July
# Altitude Temperature Pressure Density
#  (m)         (K)       (Pa)    (kg/m3)

0 301.15 101290 1.1717
2000 288.16 80323 9.7103E-1
4000 277.19 63110 7.9314E-1
6000 266.22 49112 6.4266E-1
8000 252.29 37768 5.2140E-1
10000 238.35 28618 4.1827E-1
12000 224.42 21329 3.3109E-1
14000 210.49 15603 2.5823E-1
16000 203.15 11204 1.9214E-1
18000 207.38 8049.1 1.3521E-1
20000 211.75 5823.5 9.5807E-2
22000 216.11 4242.0 6.8380E-2
24000 220.47 3110.3 4.9144E-2
26000 224.83 2294.8 3.5556E-2
28000 229.19 1703.4 2.5891E-2
30000 233.55 1271.7 1.8969E-2
32000 237.90 954.80 1.3981E-2
34000 242.25 720.69 1.0363E-2
36000 246.59 546.80 7.7248E-3
38000 251.45 417.05 5.7779E-3
40000 256.38 319.82 4.3456E-3
42000 261.31 246.54 3.2867E-3
44000 264.44 190.87 2.5144E-3
46000 267.19 148.19 1.9321E-3
48000 269.15 115.36 1.4931E-3
50000 269.15 89.876 1.1632E-3
52000 267.34 69.986 9.1197E-4
54000 264.98 54.389 7.1504E-4
56000 261.50 42.174 5.6185E-4
58000 254.04 32.518 4.4591E-4
60000 246.59 24.883 3.5152E-4
62000 239.14 18.888 2.7514E-4
64000 231.70 14.216 2.1373E-4
66000 224.27 10.602 1.6469E-4
68000 216.83 7.8313 1.2581E-4
70000 209.41 5.7247 9.5234E-5
72000 204.50 4.1432 7.0578E-5
74000 201.58 2.9833 5.1557E-5
76000 198.65 2.1382 3.7497E-5
78000 195.72 1.5253 2.7148E-5
80000 192.80 1.0827 1.9564E-5
82000 189.88 0.76480 1.4031E-5
84000 186.96 0.53742 1.0013E-5
86000 184.04 0.37563 7.1100E-6
88000 181.13 0.26111 5.0219E-6
90000 178.22 0.18048 3.5279E-6
